"","Assay","time_contrast","estimate","SE","df","t.ratio","p","q"
"1920","SHBG","week52 - week24",-0.308629220779222,0.181602579386741,82,-1.69947597562458,0.0930203070494094,0.821359378462206
"1921","IDO1","week24 - week0",0.275529653679652,0.445262713011878,82,0.61880244095872,0.537761796501694,0.930251448924731
"1922","IDO1","week52 - week0",-0.253626406926407,0.445262713011878,82,-0.569610702883269,0.570498962136694,0.989292669723712
"1923","IDO1","week52 - week24",-0.529156060606059,0.445262713011878,82,-1.18841314384199,0.23810118800473,0.821359378462206
"1924","CFI","week24 - week0",-0.233636796536798,0.214826109620264,82,-1.08756238685225,0.279974735151193,0.853267848645464
"1925","CFI","week52 - week0",-0.713012337662339,0.214826109620264,82,-3.31902085329708,0.00134915977330304,0.0757605103470166
"1926","CFI","week52 - week24",-0.479375541125541,0.214826109620264,82,-2.23145846644482,0.0283799895177263,0.821359378462206
"1927","HEG1","week24 - week0",-0.077498917748918,0.118978841244555,82,-0.651367225787844,0.516630818949791,0.921031596506803
"1928","HEG1","week52 - week0",0.035407792207792,0.118978841244555,82,0.297597386538781,0.766763130286548,0.989292669723712
"1929","HEG1","week52 - week24",0.11290670995671,0.118978841244555,82,0.948964612326626,0.345427057207362,0.821359378462206
"1930","MANF","week24 - week0",-0.243866450216448,0.294185116084021,82,-0.828955772687013,0.409535935714342,0.87154806974561
"1931","MANF","week52 - week0",-0.00494978354978215,0.294185116084021,82,-0.0168254044109032,0.986616774463029,0.997548816285334
"1932","MANF","week52 - week24",0.238916666666666,0.294185116084021,82,0.81213036827611,0.419068241424034,0.859235053017188
"1933","CCN2","week24 - week0",-0.0171448051948061,0.110786256776338,82,-0.154755704305626,0.877394196499796,0.977262642045504
"1934","CCN2","week52 - week0",-0.0975820346320361,0.110786256776338,82,-0.880813536547594,0.380993128974141,0.931734332087105
"1935","CCN2","week52 - week24",-0.08043722943723,0.110786256776338,82,-0.726057832241968,0.469870655632848,0.874190353994038
"1936","IL2RB","week24 - week0",-0.153033766233766,0.254868403241091,82,-0.600442284283491,0.549867458368081,0.939284725775812
"1937","IL2RB","week52 - week0",0.0919896103896107,0.254868403241091,82,0.360929833670256,0.719080095202462,0.989292669723712
